archivo,b0_prioridad,b0_direccion,b0_lock,b0_descanso,b1_prioridad,b1_direccion,b1_lock,b1_descanso,nb0_prioridad,nb0_direccion,nb0_lock,nb0_descanso,nb1_prioridad,nb1_direccion,nb1_lock,nb1_descanso,uso_bus_%,throughput(bytes/ns),master_1_%,master_2_%,master_3_%,master_4_%,master_-_%
bus_log_000001.csv,3,0,1,8,4,0,1,32,1,0,1,16,2,0,0,8,100.0,0.400133,50.0,50.0,,,
bus_log_000002.csv,4,1024,1,16,2,0,1,32,3,0,0,4,1,1024,1,32,100.0,0.400133,33.33,48.53,15.1,3.03,
bus_log_000003.csv,1,1024,0,16,3,1024,1,4,4,0,0,8,2,1024,0,4,100.0,0.400133,64.0,24.0,10.77,1.23,
bus_log_000004.csv,1,1024,1,4,2,1024,1,8,4,1024,1,16,3,0,0,4,100.0,0.400133,65.37,32.57,2.03,0.03,
bus_log_000005.csv,3,1024,1,8,2,1024,1,32,1,0,1,4,4,0,0,32,99.9,0.399733,66.67,28.13,4.77,0.33,0.1
bus_log_000006.csv,4,0,0,16,2,1024,0,8,3,1024,1,8,1,0,1,8,100.0,0.400133,66.67,28.83,4.5,,
bus_log_000007.csv,3,0,1,8,2,1024,0,4,4,0,1,16,1,0,1,16,100.0,0.400133,50.0,40.0,10.0,,
bus_log_000008.csv,1,0,1,16,3,1024,0,16,4,1024,1,4,2,0,0,4,100.0,0.400133,64.0,24.0,10.77,1.23,
bus_log_000009.csv,3,0,1,16,4,0,1,32,1,0,1,8,2,0,0,32,100.0,0.400133,66.67,22.23,10.77,0.33,
bus_log_000010.csv,1,1024,0,32,3,1024,0,8,4,1024,1,16,2,1024,1,8,100.0,0.400133,59.2,29.13,10.07,1.6,
bus_log_000011.csv,1,1024,0,4,2,1024,0,32,4,0,1,8,3,1024,1,8,100.0,0.400133,65.43,32.57,2.0,,
bus_log_000012.csv,3,1024,0,16,2,0,0,32,1,1024,0,16,4,1024,0,8,100.0,0.400133,50.0,38.07,11.07,0.87,
bus_log_000013.csv,4,0,1,4,2,0,0,4,1,1024,1,8,3,0,1,16,100.0,0.400133,65.47,29.13,5.4,,
bus_log_000014.csv,4,0,1,8,3,1024,0,8,2,1024,0,16,1,0,0,4,100.0,0.400133,66.67,33.33,,,
bus_log_000015.csv,1,0,1,8,4,1024,0,16,3,0,1,4,2,1024,0,4,100.0,0.400133,65.43,24.4,10.17,,
bus_log_000016.csv,3,0,0,32,4,0,1,16,1,0,1,8,2,1024,0,32,100.0,0.400133,66.67,22.23,10.77,0.33,
bus_log_000017.csv,1,0,1,32,3,0,0,4,4,1024,1,32,2,0,0,4,99.7,0.398933,61.47,26.97,10.33,0.93,0.3
bus_log_000018.csv,3,0,1,16,2,0,1,8,1,1024,0,16,4,0,1,32,100.0,0.400133,50.0,40.0,10.0,,
bus_log_000019.csv,1,1024,1,16,3,1024,1,16,2,1024,0,8,4,1024,0,4,100.0,0.400133,64.0,24.0,10.77,1.23,
bus_log_000020.csv,4,1024,1,8,2,1024,0,8,1,1024,0,16,3,0,1,8,100.0,0.400133,50.0,40.0,10.0,,
bus_log_000021.csv,4,1024,1,16,3,1024,0,4,2,1024,0,8,1,0,1,16,100.0,0.400133,50.0,50.0,,,
bus_log_000022.csv,1,1024,0,4,2,0,0,8,4,0,0,8,3,0,1,16,100.0,0.400133,65.43,32.57,2.0,,
bus_log_000023.csv,3,1024,1,16,4,0,0,16,1,1024,0,16,2,0,0,32,100.0,0.400133,50.0,25.0,22.2,2.8,
bus_log_000024.csv,1,1024,0,8,3,0,1,32,2,0,1,16,4,0,1,4,100.0,0.400133,64.03,19.97,16.0,,
bus_log_000025.csv,1,0,0,32,2,0,1,16,3,0,1,16,4,1024,0,8,100.0,0.400133,61.47,31.0,5.67,1.87,
bus_log_000026.csv,4,0,1,8,3,1024,0,16,2,1024,0,4,1,1024,1,8,100.0,0.400133,66.67,33.33,,,
bus_log_000027.csv,4,1024,1,16,2,1024,1,16,3,1024,1,16,1,1024,0,8,100.0,0.400133,64.2,30.2,5.6,,
bus_log_000028.csv,3,0,1,4,4,0,1,32,1,0,0,32,2,0,1,32,100.0,0.400133,33.33,33.33,29.6,3.73,
bus_log_000029.csv,1,1024,0,32,4,1024,1,4,2,0,0,16,3,1024,1,16,100.0,0.400133,61.47,19.27,19.27,,
bus_log_000030.csv,1,1024,1,4,2,0,0,32,4,0,0,8,3,0,1,4,100.0,0.400133,65.43,32.57,2.0,,
