#Nombre,Prioridad,direccion,lock,descanso
master_b_0,3,1024,0,16
master_b_1,4,0,1,16
master_nb_0,1,1024,1,16
master_nb_1,2,0,0,16
Tiempo,instruccion,Master,direccion,dato,lock,uso
5000,READ,1,1024,0,true,ACTIVE
15000,WRITE,1,1024,0,true,ACTIVE
25000,READ,2,0,0,false,ACTIVE
35000,WRITE,2,0,0,false,ACTIVE
45000,READ,1,1028,0,true,ACTIVE
55000,WRITE,1,1028,1,true,ACTIVE
65000,READ,2,4,0,false,ACTIVE
75000,WRITE,2,4,1,false,ACTIVE
85000,READ,1,1032,1,true,ACTIVE
95000,WRITE,1,1032,2,true,ACTIVE
105000,READ,2,8,1,false,ACTIVE
115000,WRITE,2,8,2,false,ACTIVE
125000,READ,1,1036,2,true,ACTIVE
135000,WRITE,1,1036,3,true,ACTIVE
145000,READ,2,12,2,false,ACTIVE
155000,WRITE,2,12,3,false,ACTIVE
165000,READ,1,1040,3,true,ACTIVE
175000,WRITE,1,1040,4,true,ACTIVE
185000,READ,2,16,3,false,ACTIVE
195000,WRITE,2,16,4,false,ACTIVE
205000,READ,1,1044,4,true,ACTIVE
215000,WRITE,1,1044,5,true,ACTIVE
225000,READ,2,20,4,false,ACTIVE
235000,WRITE,2,20,5,false,ACTIVE
245000,READ,1,1048,5,true,ACTIVE
255000,WRITE,1,1048,6,true,ACTIVE
265000,READ,2,24,5,false,ACTIVE
275000,WRITE,2,24,6,false,ACTIVE
285000,READ,1,1052,6,true,ACTIVE
295000,WRITE,1,1052,7,true,ACTIVE
305000,READ,2,28,6,false,ACTIVE
315000,WRITE,2,28,7,false,ACTIVE
325000,READ,1,1056,7,true,ACTIVE
335000,WRITE,1,1056,8,true,ACTIVE
345000,READ,2,32,7,false,ACTIVE
355000,WRITE,2,32,8,false,ACTIVE
365000,READ,1,1060,8,true,ACTIVE
375000,WRITE,1,1060,9,true,ACTIVE
385000,READ,2,36,8,false,ACTIVE
395000,WRITE,2,36,9,false,ACTIVE
405000,READ,1,1064,9,true,ACTIVE
